"path","type","side","management","sha1","sha512","project_id","version_id","metadata_file","note"
"mods/crittersandcompanions-fabric-1.21.1-2.3.4.jar","mod","both","modrinth","24834c398f0a68f9e7f981f8ca51aed0cda859df","143848ee10a4494a7e1c027171e7fa7a624ae7aa5e6f881d6cc2504fb5a5466cb66ba09eedeeab073e8c5356cb333828c300a20eb7339e7877bc298118a0eb15","Yd4wb5wZ","wHpQleS4","mods/crittersandcompanions.pw.toml",""
"mods/cryonicconfig-fabric-1.0.0+mc1.21.11.jar","mod","both","modrinth","0d719e7f63eb7d4c14cac09dd77632596a685288","4fca90f95b6a642e40fb3c1822005d0b3bd9e53acb4f1b83e2e244732d62028ad2c1ede9e06c0c9488850f3504eeeb6a082c2b096b40dc6e1ed1db178a6d93b8","oEhQIkOs","biJLv3Vb","mods/cryonicconfig.pw.toml",""
"mods/darcenos-minecarts-1.4.jar","mod","both","modrinth","7811c1eb6e0eed7a413dd2a188f72d30486df29e","dfe544ac0b7fcb9401fc95e79cd65ce7d51abeabdbc6dcd728a0634e6548dd15f8a1d61ea6ac05933620893bb1c13190c5e1f74d153c4d7898f17c6546529239","RZw0JtqY","kGfsCCtv","mods/mr-darcenos-minecarts.pw.toml",""
"mods/data-loader-1.1.6+1.21.jar","mod","both","modrinth","31551f4692fcc23a3fd90a006b49977f971d18df","c9cd09cb95325cf240d54e28f5ba239f16901c547d87203e2c020f3c7c1697926955c20167d53c0c1af91bcc45be7dcda94f38a8c23e6f40690b24feace020f3","gEUERjxK","Du7xlu89","mods/dataloader.pw.toml",""
"mods/day-counter-1.2.1+fabric-mc1.21-1.21.8.jar","mod","client","modrinth","501aa9e38b1cefe1078039e807ce8f33bd3201b6","491e2ae28ffe2f4d64daca1bc964a0a928077768c722176d9f553c132543d08910f02905f1b5b3902c6e0ec2be41b51eb920524f88f9ffd0390ae2630ed89123","gZOTEPbp","NorIDGr6","mods/day-counter.pw.toml",""
"mods/deimos-1.21.1-fabric-2.5.jar","mod","both","modrinth","62e0815be3370f4aedbf09927214b191e6a1f665","201d2da8d40ef99d0204629f269d3bc32ebaab77baf0ac3ab71484ce727f88bf400a9aa4eec683249a435dfd66e159b8d3c5384af395030717d21a58c48a6abf","WQaxNzFg","NsfkBCPY","mods/deimos.pw.toml",""
"mods/DiagonalFences-v21.1.1-1.21.1-Fabric.jar","mod","both","modrinth","a555e794d6f830208a830ea4949f38481eb4fc59","567113496f3de0db5b9acd9f62634d3929b56c1a42c1b0b0a447daf8ab96f279769dd72a86be5440640c9d42507e6969dbf412c79db62ddf63af8964042aaec4","IKARgflD","9jL3vlSG","mods/diagonalfences.pw.toml",""
"mods/display-delight-1.6.0-mc1.21.1.jar","mod","both","modrinth","08faf5444328da948192e290a6d858fcc62bd227","8d5cf19828a84eacfd8bb26beb19d559ac86c979e6995fb6c2992b582818ff81a95afcbf54c6a80bc473e2a4ef9517d346601a2cb3a5ec32c2cdbedc7e8b89e6","jK2xMxSG","dR2cXKA9","mods/displaydelight.pw.toml",""
"mods/doubleslabs-fabric-1.21.1-0.3.0.jar","mod","both","modrinth","fe01a07bc09f7e3c1c7296550c3298cbcf0f7b41","3696cce755163c0dd185c100b9f677566c7565db66b1b6e28538cffa2d77889b595415205129c62815966299777d47e2742cad5152780136eba61761051deb94","hcHS5k6e","6NWfQ2Rx","mods/doubleslabs.pw.toml",""
"mods/easywhitelist-1.1.0.jar","mod","both","modrinth","e07b224ab62be81003eedfa90f156e644b902d4e","633b36c61c825be998e6c7d30b91638e86c8663839c07de739e1b35ad54a97bc8cdbce556d1974e8b2bc80853e9c818f16f2a0acda3b4df9a0f8b28a083c2ed4","LODybUe5","9OoxSFQz","mods/easywhitelist.pw.toml",""
"mods/eating-animation-1.21+1.9.72.jar","mod","client","modrinth","d89ecd0ac342697e0d1c3aaff1daa6c81bebe2f6","6513938ddbbbf32602982b50296c0261ce5f1bc33838675bc4574b0ec710bc9a5622f838ab5adbdc5b9c01f7e2696443c3bc377f1cc1f1b8376539004e5a871c","rUgZvGzi","KWZCioh0","mods/eatinganimationid.pw.toml",""
"mods/enchdesc-fabric-1.21.1-21.1.9.jar","mod","client","modrinth","9bda22c7e3ca808ba52c93a99f5918b086f4d6db","608a48e73606c1c20c448e53d816f604d0909a692784bb150b5a95f165bfc42cec1c8d07678a2d9f2fb239249b1465115c447a53c78f0b878d85e6de8e29d97d","UVtY3ZAC","DqX0eegg","mods/enchdesc.pw.toml",""
"mods/entity_model_features_1.21-fabric-3.0.10.jar","mod","client","modrinth","8369a9db73a1538090feb6f51762a733bcbd3f09","2618864c8c0f94f399feb2bb6fff0ed7c28ea8356eb41fa33bee6e27979ede78901db8e15ce8b3b8ccaecc6fe0d1d832b1fde0c5ec38a7040b55b8f30e7a9979","4I1XuqiY","O33Eiuq1","mods/entity-model-features.pw.toml",""
"mods/entity_texture_features_1.21-fabric-7.0.8.jar","mod","client","modrinth","6a8ead6c257b184ed1d59d535b7c51a05bb0ba69","180f3d27ec18026fa27b1f49eb6bcec46c62b29c744ab81182e1c0834363472d2978c4a96074e678635a442019e0645ef6930feb0e03edc9fc289305f855f14c","BVzZfTc1","P3oS1dIC","mods/entity-texture-features.pw.toml",""
"mods/epic-knights-1.21.1-fabric-10.12.jar","mod","both","modrinth","a818f8f2e9c90f0512703d8c2a695c2d78c1fb3a","62725432ba2c61a05508cddf59865540228baa496dde1ff295ae1394668acb6d4e7b7e1669e38e5cc60899f7936fc98dab8960e0a6eccdba3e56728dabbb17b9","L6jvzao4","ZuHxCNeg","mods/magistuarmory.pw.toml",""
"mods/EuphoriaPatcher-1.9.3-r5.8.1-fabric.jar","mod","client","modrinth","2a596436fca404cf497c1e9228d6cd9748d1fbf2","c44bdb83f79ee4a63a3f3009e6bf003320e9d5bb3d681c4898e219d44214e44d7a63ccb0427f9e13f29b51fb3dc8fe027087f8b690d036be0e31cf37e7a3bb1e","4H6sumDB","7GNWrkGL","mods/euphoria-patcher.pw.toml",""
"mods/exposure_polaroid-fabric-1.21.1-1.1.6.jar","mod","both","modrinth","ae68d64f207a43f595ab8eab0206b58bbc3cb915","8fe3979bf116b3d61a9ae5ff42b0a20d25215122b85352826c15f094c6b28dd3d817bc58083f7925cad24f2cc136e6886c42b26b84a6e4ff56132cdafe9a8bf5","WEWiqYkW","39rX3191","mods/exposure-polaroid.pw.toml",""
"mods/exposure-fabric-1.21.1-1.9.18.jar","mod","both","modrinth","cc73df98d4693a65d9133478cb1d3b72b89fb667","59db1691fa553bd8628d8c5804d8620a03f71b0743fe3c535a0d2393b096f981844c16a5e70311291c16655a6433b322b7358a2c14440356e451865d563f54d3","hB899VmG","nGYKDVKj","mods/exposure.pw.toml",""
"mods/ExtraSoundsNext-fabric-1.21.1-1.4.jar","mod","client","modrinth","46bf2ed5fdae7b707c9703120d2d517d76868e59","807222945de5b07d759f8ab4624f6b68d3f87f48eb0a430974904e25d7ce56cb1230806516fdaaed4f45fc9cdf74cea295b072efa428820402e2ca446601a26d","jv7tzVE4","bdZup836","mods/extrasounds.pw.toml",""
